"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"CBX1P4",78.2760115664087,2.467791313417,0.742345280837086,3.32431737241497,0.000886352646943817,0.0203304459479862,"Up"
"RPL23AP45",5565.78235069692,2.27856125424607,0.614926940616254,3.70541783705652,0.000211042535491755,0.00775442474158848,"Up"
"BCRP4",362.243561862187,1.78194770965658,0.569906700972798,3.12673584398094,0.00176758667314493,0.0317426738569595,"Up"
"MT-CO1",50236.155772784,1.55105851453057,0.43116573189468,3.59736036469021,0.00032146296987297,0.0103182223375893,"Up"
"ZDHHC12-DT",549.02283683311,2.68997404897043,0.747717593881644,3.5975802508617,0.000321191411354752,0.0103182223375893,"Up"
"ACTG1P19",11045.5111736737,3.18423952475557,0.843229131282114,3.77624468442402,0.000159210595459623,0.00644341431624633,"Up"
"HSPB1",313.765551292009,3.72162246252582,0.844002997356981,4.40948962762002,1.03614520819824e-05,0.000933366288352772,"Up"
"TALDO1",16263.0984581837,2.57645364356314,0.360653729406761,7.14384306465136,9.07570146903973e-13,1.6895930901529e-09,"Up"
"ICMT-DT",40.5262524902879,2.43030959081835,0.695019658989514,3.49674942195415,0.000470963990619819,0.0131563817267961,"Up"
"S100A11P1",4341.19814598588,2.64379811940105,0.589311177200986,4.48625144352112,7.24871906705342e-06,0.000736074472536242,"Up"
"LINC01063",465.445009965001,2.82140995139396,0.729173990784473,3.86932335361905,0.000109137820288531,0.00503747707695409,"Up"
"TEX264",191.232153916319,1.84255525899469,0.585045324970753,3.14942309655547,0.001635931591294,0.0306599930784463,"Up"
"PTTG3P",2816.34540370007,1.31394891453767,0.394184133601212,3.33333790615471,0.000858106561368449,0.020052406465451,"Up"
"CNN2P9",101.998516882298,3.05883240563551,0.93368394528138,3.27608975295562,0.00105255105750386,0.0232914269761681,"Up"
"DYNLL1P5",16001.6404925635,3.45145905546736,0.750372605319887,4.59966026344471,4.23180522812189e-06,0.000500527578580533,"Up"
"HLA-U",25185.7556376844,1.61442314358439,0.548966075353249,2.94084318879913,0.00327320189523201,0.0493941821704246,"Up"
"LSP1P3",800.144791281101,2.55070758695918,0.768564785138204,3.31879320557278,0.000904073540182184,0.0206091866200714,"Up"
"RNF32-DT",222.723544132493,2.67074407362474,0.907025730966922,2.9445075067249,0.00323469099502426,0.0492254746790476,"Up"
"ANXA2",74336.0936199577,1.97134963155244,0.530065036776297,3.71907123612909,0.000199956658527239,0.00751863734154632,"Up"
"RFESD",87.734889932563,2.04909538786584,0.549268267364757,3.73059124223005,0.000191030943677268,0.00730758781121604,"Up"
"UBE2D3-AS1",189.60505576155,2.50916745810948,0.543529600886837,4.61643202875327,3.9039380642155e-06,0.000500527578580533,"Up"
"HAUS1",99.4262595433934,1.91049775181816,0.592131366791412,3.22647618242315,0.00125324662018284,0.0261183902165775,"Up"
"RPL7P51",152.260325099665,4.42847724253917,1.0495381739194,4.21945323437016,2.44895513464357e-05,0.00166797736914443,"Up"
"FCGR2B",4692.77842040217,3.71991681717147,0.639520177706816,5.81673095993672,6.00096090876829e-09,2.79294722295591e-06,"Up"
"TMEM258P1",7950.83439104613,1.51906168478153,0.394170017174952,3.85382352434813,0.000116287427908114,0.00512712065945939,"Up"
"BTN2A3P",202.71255117022,2.00418892185867,0.655470891676093,3.05763222640413,0.00223093192354389,0.0378715951154791,"Up"
"CBX1P2",85.2655804828252,3.09968358602623,0.758672708643811,4.08566638909044,4.39504907817552e-05,0.00266808142408808,"Up"
"TLR9",161.057828327259,3.00685726726602,0.506719587215885,5.93396691804803,2.95701437901461e-09,1.50135684607242e-06,"Up"
"HNRNPKP1",826.630158653009,2.87888642199639,0.934212584316445,3.08161811382882,0.00205878779068187,0.0361418715560356,"Up"
"TXNP4",18849.1362944214,1.85077731381883,0.58858516772923,3.14445116066916,0.00166398683987265,0.0309489974573551,"Up"
"STIP1P3",138.809414516382,4.14076747597039,0.765888307277394,5.40649000203454,6.42718132590696e-08,2.11151810030532e-05,"Up"
"DPH5-DT",307.278192030688,2.01860377551258,0.535618293335322,3.76873568477775,0.000164076517241598,0.00649905921130726,"Up"
"DHRS4-AS1",246.607516889998,3.43492085509283,1.11493780118227,3.08081836623575,0.00206432534044322,0.0361418715560356,"Up"
"APC2-AS1",967.72869420233,2.50985686151885,0.665498683077768,3.77139267941355,0.000162338975204145,0.0064761655465368,"Up"
"CISD1P1",596.298238572934,2.95683916369506,0.690759743142212,4.2805609230275,1.86422843250094e-05,0.00135584492959628,"Up"
"FAM111A-DT",156.423915014412,2.44535837874459,0.759077373804155,3.22148764162151,0.00127526962157337,0.0263724273177498,"Up"
"CORO1A",1608.41834180219,1.87069005952972,0.596041234682867,3.13852456957118,0.00169800699318612,0.0312982477126881,"Up"
"PSMA5P1",76.6779065423568,2.25442209462528,0.518060506247849,4.35165789987226,1.3511196413465e-05,0.00109362365172756,"Up"
"QRSL1P1",368.530600378599,2.65784935898621,0.865850787264945,3.06963901641973,0.0021431763820231,0.037172795321736,"Up"
"RPF2",363.955532782732,4.15491925678148,0.91602971400535,4.53579091732085,5.73880121293698e-06,0.000599935847449284,"Up"
"GPR141",36.4925458904132,2.74097450041138,0.759886138736548,3.60708579968146,0.000309655289793771,0.0101135952836153,"Up"
"ZNF747-DT",194.498923587787,1.46483908870819,0.381001305787488,3.84470884077557,0.000120695658461737,0.00526629103522501,"Up"
"SDHC",747.030208845804,2.38382679138726,0.775271361112755,3.07482890631447,0.00210623342125607,0.036654279770305,"Up"
"PRDX1P1",1707.22052912211,2.39145516672777,0.800267689819074,2.98831903018405,0.00280516571004713,0.0446349016826587,"Up"
"HERC3",681.413398265916,2.64552712121275,0.901471004308164,2.9346779969291,0.00333893986065859,0.0495956891536655,"Up"
"PTOV1P1",128.470370483449,2.87677142580946,0.769353462136396,3.73920644721743,0.000184602079059894,0.00711036283827248,"Up"
"LINC02802",1358.03303759219,2.31979214003595,0.761057960953968,3.04811493874677,0.00230281829293502,0.0389734550486124,"Up"
"FAM207CP",60.8235032277,1.75097321177298,0.59555058474835,2.9400914995539,0.00328115337246688,0.0493941821704246,"Up"
"GNG5P5",12076.4331618402,1.95224809215444,0.534203794715212,3.65450060719841,0.000257683053603586,0.00893888108308091,"Up"
"CD58",173.414121945235,2.83862059179916,0.654948417821329,4.33411321343713,1.46348849886978e-05,0.00115120891073067,"Up"
"HAX1P1",1448.6580785732,2.43512027322239,0.615000084184546,3.9595446177072,7.50928146316698e-05,0.00399926766593662,"Up"
"ATP7A",67.9388387212294,2.0252904298982,0.520120947037621,3.893883608098,9.86519977113529e-05,0.00463001182536055,"Up"
"NAPSB",5450.79785093203,4.07558065514502,0.810999890506606,5.02537756521661,5.024430346511e-07,0.000112245773941056,"Up"
"GOT2",59.7773654075774,1.94508999131912,0.551249515863191,3.52851101968469,0.000417904547109834,0.0122841941874128,"Up"
"PSMD8P1",388.186043212317,1.51077730990245,0.431052709175316,3.50485515516849,0.000456855764734407,0.0129519768834602,"Up"
"PHB1P7",626.87534217283,2.89278994562956,0.826485409329507,3.50011012048762,0.000465065994617973,0.0131181493936433,"Up"
"DLGAP1-AS2",93.2753807564304,1.96046145643035,0.661951893556547,2.9616373569039,0.0030600796723555,0.0470813911022189,"Up"
"ENSAP3",1055.04365488341,2.79503753630222,0.950480011885738,2.94065893164539,0.0032751493681948,0.0493941821704246,"Up"
