"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"5351","RPL3P8",2438.154,24.445612,1344.3779,229.45459,2098.6501,139.50856,4460.1343,143.55655
"5352","SLC6A8",1116.0696,128.4956,1102.5267,609.25006,3324.2156,430.87463,1304.2052,120.807396
"5353","LINC01132",42.732437,5.696535,62.35537,41.295067,255.42621,49.31693,48.57902,4.9999995
"5354","RPL7P34",429.91925,4.9999995,332.9738,30.45093,415.39594,25.909672,424.62943,25.399136
"5355","LINC01210",35.87334,4.9999995,34.969055,14.210788,65.32749,18.38131,46.402508,4.9999995
"5356","CLDN10-AS1",134.33342,12.521989,110.471504,51.174404,191.91687,39.0705,154.2253,21.669313
"5357","LINC02570",71.47327,4.9999995,46.701694,28.049156,76.72994,14.13688,56.92078,4.9999995
"5358","PSMA6P2",595.7275,14.116191,353.68378,335.2267,895.44226,136.70688,295.99515,6.2548394
"5359","TNFRSF14-AS1",1728.6342,95.91223,1194.2322,748.62506,2846.3162,416.1171,1536.4655,91.159836
"5360","KANSL1L-AS1",89.98511,10.84813,87.49889,62.25759,75.02274,33.56902,112.2919,6.3058457
"5361","CCDC144NL-AS1",35.987953,4.9999995,39.434784,22.868015,58.785347,16.229439,56.95772,6.0098705
"5362","OR8S21P",39.048176,4.9999995,49.062084,19.687489,48.419525,17.35324,61.514572,5.041325
"5363","MAT2A",80884.38,3000.373,64550.465,14960.173,128947.58,21295.734,118867.87,1792.8484
"5364","MTND4LP19",42.102318,17.92108,53.511425,27.963608,59.934227,13.744238,78.55166,9.369235
"5365","FAM182A",60.55504,6.5231423,78.3592,49.632362,196.93826,41.767498,85.99318,6.150434
"5366","RPL27P8",658.1455,7.5988107,438.87003,66.68546,662.786,38.450787,807.5265,34.217297
"5367","SMPD1",126.753,16.127611,147.87299,111.006905,153.03554,70.38984,130.83989,17.973286
"5368","SUCLG2P4",282.23456,12.162979,424.77908,187.098,395.91592,60.28927,285.0323,4.9999995
"5369","CD84-AS1",69.07461,6.0138307,82.41847,58.273327,370.66003,34.13161,91.40781,8.517245
"5370","HAGHL",136.67427,9.851362,95.97968,66.13263,315.7473,50.834736,132.5089,12.70159
"5371","AIFM3",105.26428,6.6289625,151.1021,92.47134,1471.6589,57.38891,80.37666,16.898073
"5372","ACTG1P10",18205.818,2954.1633,52820.395,37150.555,89478.48,20200.402,18009.254,135.49037
"5373","FAM88F",4234.5493,174.83752,4247.47,1034.5309,4183.0244,744.02655,8769.315,310.0202
"5374","RPL35AP37",159878.81,15938.781,151684.72,85154.11,169970.6,62273.984,183362.45,50134.56
"5375","MTND3P1",89.02158,4.9999995,45.08592,20.570889,90.42505,15.91301,105.79123,5.2803283
"5376","MYRF-AS1",19.387032,4.9999995,36.101643,30.398607,317.7137,19.42538,21.655788,4.9999995
"5377","LINC00222",47.782097,7.888013,32.419422,27.089972,77.9715,18.44751,68.6159,6.0118365
"5378","TMEM184B-AS1",36.1422,4.9999995,36.151196,13.61505,56.80084,21.311678,60.27066,5.72888
