"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"WAKMAR2",70.3645105426738,-1.47313409836492,0.436693026792272,-3.37338589806626,0.000742498125660089,0.0181879475079456,"Down"
"GABARAPL3",288.302871881599,-1.35595189971979,0.457518214449167,-2.96371129475643,0.00303953308454133,0.0468944538043186,"Down"
"FTH1P24",2959.29309261415,-2.18823808058923,0.482501956287856,-4.53519006933052,5.75516333753004e-06,0.000599935847449284,"Down"
"SLC5A4-AS1",44.971879953248,-2.27009435485426,0.620715965227168,-3.65721921462654,0.000254966316232566,0.00893888108308091,"Down"
"CYP4F35P",175.796832200811,-3.77741276693764,0.749842106158209,-5.03761089956803,4.7137845449565e-07,0.000109693694514925,"Down"
"SPSB2",172.292591726716,-1.77760244333699,0.571575290339488,-3.11000575668899,0.00187083697714365,0.0332758742590677,"Down"
"EIF5-DT",45.9063915550329,-1.82189168784116,0.469423906960181,-3.88112250106534,0.000103975448375552,0.00483919065981213,"Down"
"CHLSN-AS1",112.215407103232,-6.17451376440747,0.753006971652955,-8.19980955933721,2.40768147928866e-16,6.72345053091358e-13,"Down"
"MYADM-AS2",217.480469136204,-3.0836924183777,0.702793025276057,-4.38776753250564,1.1452008320924e-05,0.000999366663630632,"Down"
"RNU12-2P",1964.96413372708,-4.09682254003579,0.990096931521615,-4.13779945135235,3.50652651102972e-05,0.00222544892773875,"Down"
"CASP4LP",217.478610930485,-3.61645890399235,0.786614318136847,-4.59749946143645,4.27591733168763e-06,0.000500527578580533,"Down"
"RBM38-AS1",570.683969218651,-1.86381644297245,0.633512022826858,-2.94203799740962,0.00326059915821315,0.0493941821704246,"Down"
"CDKL1",93476.4992467808,-1.88470628941835,0.6260810026195,-3.01032339510831,0.00260969663105401,0.0428159466793415,"Down"
"SOD1P1",103.30607263704,-3.09568572023766,0.832938013293113,-3.71658595337548,0.00020193296351512,0.00751863734154632,"Down"
"AMD1",447.310600123537,-2.25744576533007,0.588731551079605,-3.83442294062617,0.000125859420706274,0.00536583866140871,"Down"
"NBEA",67.1683228333736,-2.53310736923504,0.649810965410091,-3.89822195080444,9.69015810950323e-05,0.00462560111466458,"Down"
"FEN1",181.043146597072,-1.81845992474949,0.417766837189912,-4.35281061795443,1.34403247007349e-05,0.00109362365172756,"Down"
"SIPA1L1",6220.92567618063,-3.12818644871018,0.728370736115486,-4.29477228230404,1.74872739164712e-05,0.0013111975099865,"Down"
"RN7SKP192",11294.2254401461,-1.82518101315765,0.462214097780274,-3.94877833004847,7.85510479871726e-05,0.00399926766593662,"Down"
"PSMD7",2575.85572658729,-1.76238019286901,0.493612976678046,-3.57036843871004,0.000356479463409263,0.0111225575594454,"Down"
"EML6",51257.739301471,-1.39931387128661,0.396155358407814,-3.53223512338842,0.000412062800990975,0.0122244648601391,"Down"
"RPL21P132",1846.40518453824,-3.0120490280693,0.85129647229916,-3.53819042610906,0.00040287939396338,0.0120325209373555,"Down"
"RPL32P21",159145.167473594,-2.04729474877647,0.654314773970977,-3.12891414074548,0.00175453567858717,0.0316170685184031,"Down"
"PEX14",38.6026886246602,-2.47825891367521,0.718967715165438,-3.4469682871712,0.00056691512427124,0.0148648871786614,"Down"
"RN7SKP162",86.7485953704171,-1.70860823585766,0.570362282359892,-2.9956543212995,0.00273856689938151,0.043950850957028,"Down"
"OR2A15P",229.69588390778,-3.23274740063202,0.694492490502434,-4.65483420604486,3.24241506920178e-06,0.000441680199060779,"Down"
"ZNF8-DT",1676.8805264152,-1.81314916315073,0.600028564191996,-3.02177141448646,0.00251300238481769,0.0417711854738298,"Down"
"ANXA2R-OT1",412.196355208797,-1.61571310717426,0.484328917597263,-3.33598314796017,0.000849983160095386,0.020052406465451,"Down"
"EZRP1",1931.57974973247,-2.38920914096546,0.603605813274384,-3.95822751938836,7.55080152776297e-05,0.00399926766593662,"Down"
"DNAH17-AS1",85.1233601408623,-2.09689459686713,0.622281111279724,-3.36969025550986,0.000752527214582789,0.0182194468117851,"Down"
"PDE4DIP",36.644072369634,-1.83302926124218,0.624163740914331,-2.93677626732529,0.00331643273823497,0.0495404916509827,"Down"
"LINC02631",895.791886426494,-2.54128363934108,0.588581701498361,-4.31763956112074,1.57706690607364e-05,0.00120656420142757,"Down"
"ZNF503-AS1",202.630001961368,-2.05888868421359,0.617400494228413,-3.33477006167068,0.00085369959096421,0.020052406465451,"Down"
"HLA-DQB1-AS1",124.476711017488,-3.03721948015694,0.989760435970721,-3.06864102642994,0.00215034807687139,0.0371817151991539,"Down"
"IGHA2",17578.0431328435,-1.90332772457762,0.589487857206471,-3.22878190162783,0.00124318665158514,0.0261022460492593,"Down"
"LINC02241",66.5187698617101,-1.8702981268075,0.596416960029125,-3.13589024483168,0.00171333310776225,0.0314768598909611,"Down"
"GAPDHP75",66.0606164528608,-3.03149572514385,0.864377858975637,-3.50714180571033,0.000452947701888391,0.0129066985461564,"Down"
"SH3D19-AS1",1013.71384682362,-3.8522008485964,0.638135642196759,-6.03664894086677,1.57347521029746e-09,9.68615059806836e-07,"Down"
"FTH1P9",8082.22566879521,-2.66362731876634,0.556120225886717,-4.7896609308163,1.67063367720504e-06,0.000266585402491148,"Down"
"ZNF273",48.7195771407256,-1.74744133665473,0.463310120156383,-3.77164508313547,0.000162174819317901,0.0064761655465368,"Down"
"RPL38P6",5231.36138776209,-1.528002704417,0.520022620053993,-2.9383389212153,0.00329976078300653,0.0495404916509827,"Down"
"ALDH1L1-AS1",47.4864662376273,-2.962445579209,0.611977589547933,-4.84077461300071,1.29333994650703e-06,0.000212450105918875,"Down"
"GXYLT2",163375.428344937,-1.92673577803345,0.537589490296305,-3.58402798568753,0.000338335810513029,0.0107657975451534,"Down"
"FTH1P12",72742.2260815589,-1.84728407988792,0.392270389015834,-4.70921112481257,2.48677384182523e-06,0.000375368429907943,"Down"
"C3orf86P",312.109221460643,-2.25542384581111,0.488512651435633,-4.61692003100208,3.89477266572865e-06,0.000500527578580533,"Down"
"SCN3A",390.875790829698,-2.23057321530299,0.61521513289016,-3.62568001996992,0.00028820204220629,0.00963837368695887,"Down"
"RPL13P14",57.1175809917259,-2.9978053539577,0.804898725190925,-3.72445036889157,0.000195741214841389,0.00743683459108272,"Down"
"RPL38P1",707.998003527491,-1.2029271149647,0.401713895433777,-2.994487192597,0.00274906596843123,0.0439550486955042,"Down"
"FAM153B",44.1816543269596,-1.82193189967125,0.605913087193765,-3.00691953710617,0.00263909607453962,0.0429718704848506,"Down"
"H3P5",109.740050002237,-1.45108362136826,0.446301286225619,-3.25135433428865,0.00114856614561515,0.0248633407878318,"Down"
"MTND1P28",117.245367167379,-1.52584428907884,0.447214233274346,-3.41188668774503,0.000645149251839882,0.0162304440158817,"Down"
"IGLV10-54",277.639958170929,-2.03466883985059,0.4894043111257,-4.15743955170841,3.21834395459186e-05,0.00206602884901098,"Down"
"OR9A3P",60.6784746136587,-1.23758573661319,0.409318259845561,-3.02352926321963,0.00249844864214151,0.0416532407951055,"Down"
