ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A014812,14.254678,9.535526,46.62643,37.244415,23.48929,135.70074,149.2464,7.1343164,
ASHG19A3A041775,107.5146,30.962536,146.96933,106.26942,136.69807,89.37093,126.76628,18.379372,AF277315.13
ASHG19A3A041775,107.5146,30.962536,146.96933,106.26942,136.69807,89.37093,126.76628,18.379372,AF277315.13
ASHG19A3A043398,44.384468,14.48929,32.49064,19.238882,162.92072,16.788542,43.91131,4.9999995,RP11-47G11.2
ASHG19A3A000519,72.35425,20.735254,112.0414,61.387264,313.90408,45.678337,107.50291,38.53352,
ASHG19A3A033642,53.98016,19.760778,74.67564,27.16096,86.591125,32.41921,101.962006,13.69077,RP5-1154E9.6
ASHG19A3A024331,94.27657,19.82696,69.03642,43.137554,87.14439,25.78191,131.07787,14.083902,PPBPP2
ASHG19A3A000502,98.948364,25.146297,427.3016,214.28035,256.57483,75.61335,122.72341,7.2557364,RP11-159F24.1
ASHG19A3A000502,98.948364,25.146297,427.3016,214.28035,256.57483,75.61335,122.72341,7.2557364,RP11-159F24.1
ASHG19A3A008473,223.50458,54.50623,303.24237,145.0701,247.52785,117.83601,483.94852,55.33285,
ASHG19A3A008473,223.50458,54.50623,303.24237,145.0701,247.52785,117.83601,483.94852,55.33285,
ASHG19A3A032238,53.242348,7.1284676,61.989925,48.82655,120.54016,26.24252,81.66616,4.9999995,RP11-331O9.6
ASHG19A3L0002329,202.86629,26.464588,198.88904,74.25592,209.85252,69.83673,427.1669,32.657806,lincRNA-VCX
ASHG19A3A043492,24.878021,7.573455,57.315983,39.082485,221.26726,26.129839,38.412933,4.9999995,
ASHG19A3A024864,84052.38,4928.1597,87959.336,27241.754,125641.484,17054.617,104331.305,5692.8467,RP11-555K12.2
ASHG19A3A052669,199.51154,25.89154,186.54782,107.86737,178.9613,58.554993,231.06398,27.328676,SNURF-SNRPN
ASHG19A3A052669,199.51154,25.89154,186.54782,107.86737,178.9613,58.554993,231.06398,27.328676,SNURF-SNRPN
ASHG19A3A052669,199.51154,25.89154,186.54782,107.86737,178.9613,58.554993,231.06398,27.328676,SNURF-SNRPN
ASHG19A3A021805,40.456158,14.444709,62.30834,26.3468,62.52615,23.468927,143.53358,12.36782,RP11-439C8.2
ASHG19A3A031962,155.13362,27.303171,366.52237,113.271706,199.2787,89.229996,407.47897,32.683365,RP1-236J16.1
ASHG19A3A028555,3250.0698,255.0573,4912.4014,1760.8995,5728.9785,1094.9391,5406.772,149.05345,AC008834.2
ASHG19A3A010465,68.465454,4.9999995,73.51435,36.531284,79.01762,26.92915,103.04052,15.324919,AP001793.1
ASHG19A3A053354,41.53041,32.52634,115.95383,89.713264,295.35016,45.556408,62.603115,8.578532,LMF1
ASHG19A3A053354,41.53041,32.52634,115.95383,89.713264,295.35016,45.556408,62.603115,8.578532,LMF1
ASHG19A3L0001007,27.577303,6.7206144,39.399,36.16604,43.063335,13.987029,58.96862,13.52711,lincRNA-SALL3-2
ASHG19A3A035555,197.79636,5.564229,115.35189,40.150627,154.2203,16.50049,372.5323,9.100869,RP11-468H14.1
ASHG19A3A041815,32.635536,4.9999995,55.500095,50.25785,418.9162,22.613077,23.32157,5.2936077,AC006335.6
ASHG19A3A044971,64.10685,4.9999995,42.73861,62.03301,101.86691,19.385532,46.088467,4.9999995,AL833346
ASHG19A3A021732,54.681313,4.9999995,26.194399,58.4608,91.91702,4.9999995,27.35162,4.9999995,RP11-505J9.4
